Name,Rarity,Type,Value,Attunement,Text
Mariner's Armor,uncommon,generic variant,363,,"While wearing this armor, you have a Swim Speed equal to your Speed. In addition, if you start your turn underwater with 0 Hit Points, you immediately regain 1d4 Hit Points. The armor can't heal anyone again until the next dawn.The armor is decorated with fish and shell motifs. Base items. This item variant can be applied to the following base items:Breastplate (Mariner's Breastplate)Chain Mail (Mariner's Chain Mail)Chain Shirt (Mariner's Chain Shirt)Half Plate Armor (Mariner's Half Plate Armor)Hide Armor (Mariner's Hide Armor)Leather Armor (Mariner's Leather Armor)Padded Armor (Mariner's Padded Armor)Plate Armor (Mariner's Plate Armor)Ring Mail (Mariner's Ring Mail)Scale Mail (Mariner's Scale Mail)Splint Armor (Mariner's Splint Armor)Studded Leather Armor (Mariner's Studded Leather Armor)"
Sending Stones,uncommon,wondrous item,487,,"Sending Stones come in pairs, with each stone carved to match the other so the pairing is easily recognized. While you touch one stone, you can cast Sending from it. The target is the bearer of the other stone. If no creature bears the other stone, you know that fact as soon as you use the stone, and you don't cast the spell.Once Sending is cast using either stone, the stones can't be used again until the next dawn. If one of the stones in a pair is destroyed, the other one becomes nonmagical."
Myceliaweave Armor,rare,generic variant,1159,requires attunement,"This naturally-sourced armor is interwoven with fibers and caps from a resilient strain of violet fungus that grows when exposed to rejuvenating magic. While wearing this armor, your Constitution score increases by 2, to a maximum of 20, and whenever a spell or magical effect causes you to regain hit points, you also gain a number of temporary hit points equal to half the number of hit points you recover, up to a maximum of 15 temporary hit points. While you have temporary hit points in this way, you also have resistance to necrotic damage. Curse. Once you don and attune to this magic armor, you can't doff it unless you die or are targeted by the remove curse spell: a side effect of the violet fungus' magical and parasitic effects. When your attunement to the armor ends, your Constitution score is reduced by 2 (to a minimum score of 1) until 2d6 + 6 days have passed or until you attune to the armor again. Base items. This item variant can be applied to the following base items:Hide Armor (Myceliaweave Hide Armor)Leather Armor (Myceliaweave Leather Armor)Studded Leather Armor (Myceliaweave Studded Leather Armor)"
Serpent Scale Armor,uncommon,medium armor (scale mail),180,,"This suit of magic armor is made from shimmering scales. While wearing it, you can apply your full Dexterity modifier (instead of a maximum of +2) when determining your Armor Class. In addition, this armor does not impose disadvantage on your Dexterity (Stealth) checks."
+1 Shield (*),uncommon,generic variant,431,,"* This generic variant has the same name and source as the item +1 Shield.While holding this Shield, you have a +1 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+1 Shield)"
Badge of the Savant (Abjuration),uncommon,wondrous item,284,,"A badge of the savant is a platinum bookplate that can be magically affixed to a wizard's spellbook. Each badge features a design that represents a different school of magic. While a badge is attached to the cover of your spellbook, the gold and time you must spend to copy a spell of that badge's school of magic into your spellbook is halved. You can collect multiple of these plates and fit them onto the cover of your spellbook, allowing you to gain this benefit for multiple schools of magic at once.You can use an action to attach or remove a badge from a spellbook by expending a spell slot of a level equal to 1 plus the number of badges already on the book (a maximum of a 9th level spell slot)."
Ring of Rituals,uncommon,ring,164,,"While wearing this ring, you can speak its command word to cause a small, illusory flame to appear above it. The flame emits light like a normal candle but doesn't require oxygen or give off heat. Speaking the command word again snuffs out the light.In addition, when you cast the ritual version of a spell, you can use the ring as a material component of the spell in addition to its normal requirements. When you do, the ritual version of the spell's total casting time is reduced by 5 minutes. Once this property of the ring has been used, it can't be used again until the next dawn."
Instrument of Illusions,common,"wondrous item, instrument",40,requires attunement,"While you are playing this musical instrument, you can create harmless, illusory visual effects within a 5-foot-radius sphere centered on the instrument. If you are a bard, the radius increases to 15 feet. Sample visual effects include luminous musical notes, a spectral dancer, butterflies, and gently falling snow. The magical effects have neither substance nor sound, and they are obviously illusory. The effects end when you stop playing.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Portal Compass,uncommon,wondrous item,219,,"This portable arcane instrument points in the direction of the last portal it passed through while it and the portal are on the same plane of existence. If that portal no longer exists, the needle becomes static until the compass passes through a new portal."
Staff of the Adder,uncommon,"staff, weapon, simple weapon, melee weapon",274,"requires attunement by a cleric, druid, or warlock","You can use a bonus action to speak this staff's command word and make the head of the staff become that of an animate poisonous snake for 1 minute. By using another bonus action to speak the command word again, you return the staff to its normal inanimate form.You can make a melee attack using the snake head, which has a reach of 5 feet. Your proficiency bonus applies to the attack roll. On a hit, the target takes 1d6 piercing damage and must succeed on a DC 15 Constitution saving throw or take 3d6 poison damage.The snake head can be attacked while it is animate. It has an Armor Class of 15 and 20 hit points. If the head drops to 0 hit points, the staff is destroyed. As long as it's not destroyed, the staff regains all lost hit points when it reverts to its inanimate form. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
