Name,Rarity,Type,Value,Attunement,Text
"Ioun Stone, Sustenance",rare,wondrous item,716,requires attunement,"An Ioun stone is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of Ioun stone exist, each type a distinct combination of shape and color.When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of 1d3 feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity (Acrobatics) check. You can use an action to seize and stow the stone, ending its effect.A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head.You don't need to eat or drink while this clear spindle orbits your head."
Wand of Web,uncommon,wand,232,requires attunement by a spellcaster,"This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges to cast the web spell (save DC 15) from it.The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed."
Rope of Mending,common,wondrous item,49,,"You can cut this 50-foot coil of hempen rope into any number of smaller pieces, and then use an action to speak a command word and cause the pieces to knit back together. The pieces must be in contact with each other and not otherwise in use. A rope of mending is forever shortened if a section of it is lost or destroyed."
Bow of the Cobra,rare,generic variant,1252,requires attunement,"This metallic bow resembles the shape of a mighty cobra and is covered in spots of patina. When you fire an arrow from the bow, you can choose to coat the arrow in a thin layer of acid. A target hit with the acid-coated arrow takes an extra 1d4 acid damage. Hit or miss, a nonmagical coated arrow is destroyed after the attack.In addition, the bow has 4 charges and regains 1d4 expended charges daily at dawn. When you take the Attack action using this bow, you can expend 1 of its charges to replace one of your weapon attacks with a special attack. This special attack duplicates the effect of the Melf's acid arrow spell and uses the same attack bonus as your normal weapon attacks with the bow. Base items. This item variant can be applied to the following base items:Longbow (Longbow of the Cobra)Shortbow (Shortbow of the Cobra)"
Faeflame Torch,rare,wondrous item,1494,,"This magic torch was harvested from a tree in the Safire Wood, one of the most beautiful and deadly fey forests. While holding the torch, you can use a bonus action to speak its first command word, causing eerie blue flames to appear above the head of the torch. The flames shed bright light in a 20-foot radius and dim light for an additional 20 feet. The flames are not extinguished when immersed in water and last until you use a bonus action to speak the command word again or until you stow the torch.You can use an action while holding the lit torch to speak its second or third command word. Speaking the second command word causes any illusion within the torch's bright light to be outlined in blue, green, or violet (your choice) for 1 minute. The torch can't be used this way again until the next dawn.Speaking the third command word causes the flame to fly from the torch and erupt at a point you can see within 60 feet of you, creating an explosion of blue flames and duplicating the effect of the faerie fire spell (save DC 15, no concentration required) in a 20-foot radius sphere centered on that point. A creature also takes 3d6 fire damage on a failed save, or half as much damage on a successful one. You can choose to end the effect early as a bonus action. When the effect ends, the flame reappears above the torch. The torch can't be used this way again until the next dawn."
Enhanced Lightning Breath,uncommon,potion,422,,"For 24 hours after drinking this shimmering gold liquid, your voice gains a crackling quality to it and your breath sparks and sputters. For the duration, you can use a bonus action to exhale an arc of lightning at a creature you can see within 30 feet of you. The target must make a DC 16 Dexterity saving throw, taking 3d10 lightning damage on a failed save, or half as much damage on a successful one. Once you exhale this lightning, the effects of this potion end.45"
Bag of Tricks,uncommon,wondrous item,353,,"Multiple variations of this item exist, as listed below:Bag of Tricks, GrayBag of Tricks, RustBag of Tricks, Tan"
Orb of Remembrance,common,wondrous item,52,,"This glassy orb is 3 inches in diameter, weighs 1/2 pound, and is wrapped in a golden wire cage. Strange, wispy smoke drifts around inside the orb, creating cloud-like shapes that are almost recognizable as reallife objects.While holding the orb, you can use an action to speak its command word, priming the orb and causing the smoke inside to restlessly billow and swirl. You can gently squeeze the primed orb (no action required) to cause it to record that moment in time around you. When you do, the glassy sphere becomes perfectly clear over the course of 1 minute and reveals an exact duplicate of the area around you in up to a 30-foot radius as a miniature, illusory diorama inside it. While holding the orb, the scene inside soundlessly replays the next 6 seconds following the diorama's capture.An orb remains primed for 1 minute or until used to capture a diorama. Touching a primed orb of remembrance to one that already has a diorama creates a duplicate of the diorama in the primed orb. Speaking the command word again while shaking the orb causes the diorama inside to disappear into smoke, allowing it to be primed once more."
Opal of the Ild Rune,rare,wondrous item,1629,requires attunement,"This triangular fire opal measures about three inches on each side and is half an inch thick. The ild (fire) rune shimmers within its core, causing it to be slightly warm to the touch. The opal has the following properties, which work only while it's on your person. Ignite. As an action, you can ignite an object within 10 feet of you. The object must be flammable, and the fire starts in a circle no larger than 1 foot in diameter. Fires Friend. You have resistance to cold damage. Fire Tamer. As an action, you can extinguish any open flame within 10 feet of you. You choose how much fire to extinguish in that radius. Gift of Flame. You can transfer the opal's magic to a nonmagical item—a weapon or a suit of armor—by tracing the ild rune there with your finger. The transfer takes 8 hours of work that requires the two items to be within 5 feet of each other. At the end, the opal is destroyed, and the rune appears in red on the chosen item, which gains a benefit based on its form:Weapon. The weapon is now an uncommon magic weapon. It deals an extra 1d6 fire damage to any target it hits.Armor. The armor is now a rare magic item that requires attunement. You have resistance to cold damage while wearing the armor."
Helm of Brilliance,very rare,wondrous item,1847,requires attunement,"This helm is set with 1d10 diamonds, 2d10 rubies, 3d10 fire opals, and 4d10 opals. Any gem pried from the helm crumbles to dust. When all the gems are removed or destroyed, the helm loses its magic.You gain the following benefits while wearing the helm. Diamond Light. As long as it has at least one diamond, the helm emits a 30-foot Emanation. When at least one Undead is within that area, the Emanation is filled with Dim Light. Any Undead that starts its turn in that area takes 1d6 Radiant damage. Fire Opal Flames. As long as the helm has at least one fire opal, you can take a Magic action to cause one weapon you are holding to burst into flames. The flames emit Bright Light in a 10-foot radius and Dim Light for an additional 10 feet. The flames are harmless to you and the weapon. When you hit with an attack using the blazing weapon, the target takes an extra 1d6 Fire damage. The flames last until you take a Bonus Action to extinguish them or until you drop or stow the weapon. Ruby Resistance. As long as the helm has at least one ruby, you have Resistance to Fire damage. Spells. You can cast one of the following spells (save DC 18), using one of the helm's gems of the specified type as a component: Daylight (opal), Fireball (fire opal), Prismatic Spray (diamond), or Wall of Fire (ruby). The gem is destroyed when the spell is cast and disappears from the helm. Taking Fire Damage. Roll 1d20 if you are wearing the helm and take Fire damage as a result of failing a saving throw against a spell. On a roll of 1, the helm emits beams of light from its remaining gems and is then destroyed. Each creature within a 60-foot Emanation originating from you must succeed on a DC 17 Dexterity saving throw or be struck by a beam, taking Radiant damage equal to the number of gems in the helm."
